year,timeframe,rr_ratio,direction,body_size_points,candle_high,candle_low,outcome
2018,5m,2.5,bullish,16.401617000000442,7964.449363,7946.29043,win
2018,5m,3.0,bullish,16.401617000000442,7964.449363,7946.29043,win
2018,5m,3.5,bullish,16.401617000000442,7964.449363,7946.29043,loss
2018,5m,4.0,bullish,16.401617000000442,7964.449363,7946.29043,loss
2018,5m,4.5,bullish,16.401617000000442,7964.449363,7946.29043,loss
2018,5m,5.0,bullish,16.401617000000442,7964.449363,7946.29043,loss
2018,5m,10.0,bullish,16.401617000000442,7964.449363,7946.29043,loss
2018,5m,1.5,bearish,16.10873100000026,7974.99326,7957.127213,win
2018,5m,2.0,bearish,16.10873100000026,7974.99326,7957.127213,win
2018,5m,2.5,bearish,16.10873100000026,7974.99326,7957.127213,no_exit
2018,5m,3.0,bearish,16.10873100000026,7974.99326,7957.127213,no_exit
2018,5m,3.5,bearish,16.10873100000026,7974.99326,7957.127213,no_exit
2018,5m,4.0,bearish,16.10873100000026,7974.99326,7957.127213,no_exit
2018,5m,4.5,bearish,16.10873100000026,7974.99326,7957.127213,no_exit
2018,5m,5.0,bearish,16.10873100000026,7974.99326,7957.127213,no_exit
2018,5m,10.0,bearish,16.10873100000026,7974.99326,7957.127213,no_exit
2018,5m,1.5,bullish,21.673565000000053,7929.595928,7902.064642,win
2018,5m,2.0,bullish,21.673565000000053,7929.595928,7902.064642,win
2018,5m,2.5,bullish,21.673565000000053,7929.595928,7902.064642,win
2018,5m,3.0,bullish,21.673565000000053,7929.595928,7902.064642,win
2018,5m,3.5,bullish,21.673565000000053,7929.595928,7902.064642,win
2018,5m,4.0,bullish,21.673565000000053,7929.595928,7902.064642,no_exit
2018,5m,4.5,bullish,21.673565000000053,7929.595928,7902.064642,no_exit
2018,5m,5.0,bullish,21.673565000000053,7929.595928,7902.064642,no_exit
2018,5m,10.0,bullish,21.673565000000053,7929.595928,7902.064642,no_exit
2018,5m,1.5,bullish,6.150607000000491,7999.595685,7973.821716,win
2018,5m,2.0,bullish,6.150607000000491,7999.595685,7973.821716,win
2018,5m,2.5,bullish,6.150607000000491,7999.595685,7973.821716,win
2018,5m,3.0,bullish,6.150607000000491,7999.595685,7973.821716,win
2018,5m,3.5,bullish,6.150607000000491,7999.595685,7973.821716,win
2018,5m,4.0,bullish,6.150607000000491,7999.595685,7973.821716,loss
2018,5m,4.5,bullish,6.150607000000491,7999.595685,7973.821716,loss
2018,5m,5.0,bullish,6.150607000000491,7999.595685,7973.821716,loss
2018,5m,10.0,bullish,6.150607000000491,7999.595685,7973.821716,loss
2018,5m,1.5,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,2.0,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,2.5,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,3.0,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,3.5,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,4.0,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,4.5,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,5.0,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,10.0,bullish,21.0877930000006,7982.31541,7956.248555,loss
2018,5m,1.5,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,2.0,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,2.5,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,3.0,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,3.5,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,4.0,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,4.5,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,5.0,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,10.0,bullish,5.857721000000311,7995.788167,7972.943058,loss
2018,5m,1.5,bullish,14.35141399999975,8139.888085,8118.21452,win
2018,5m,2.0,bullish,14.35141399999975,8139.888085,8118.21452,win
2018,5m,2.5,bullish,14.35141399999975,8139.888085,8118.21452,win
2018,5m,3.0,bullish,14.35141399999975,8139.888085,8118.21452,win
2018,5m,3.5,bullish,14.35141399999975,8139.888085,8118.21452,win
2018,5m,4.0,bullish,14.35141399999975,8139.888085,8118.21452,no_exit
2018,5m,4.5,bullish,14.35141399999975,8139.888085,8118.21452,no_exit
2018,5m,5.0,bullish,14.35141399999975,8139.888085,8118.21452,no_exit
