direction,entry_time,entry_price,stop_loss,take_profit,fvg_type,year,exit_time,exit_price,exit_reason,exit_idx,pnl
long,2018-04-17 02:00:00,7868.584826,7861.95619,7878.52778,bearish,2018,2018-04-17 02:15:00,7861.95619,SL,20224,-6.62863600000037
short,2018-04-17 02:20:00,7862.45619,7876.672661,7841.1314835,bullish,2018,2018-04-17 05:10:00,7876.672661,SL,20259,-14.216470999999729
long,2018-04-17 05:15:00,7875.005302,7857.870433,7900.707605499999,bearish,2018,2018-04-17 08:45:00,7900.707605499999,TP,20302,25.70230349999929
short,2018-04-18 02:00:00,7983.277869,7993.992263,7967.206277999999,bullish,2018,2018-04-18 03:00:00,7993.992263,SL,20506,-10.714394000000539
long,2018-04-18 03:05:00,7993.492263,7977.816593,8017.005768000001,bearish,2018,2018-04-18 08:25:00,7977.816593,SL,20571,-15.675670000000537
short,2018-04-19 02:00:00,7995.535141,8009.751612,7974.210434500001,bullish,2018,2018-04-19 05:30:00,7974.210434500001,TP,20809,21.324706499999593
short,2018-04-20 02:00:00,7900.687205,7919.573112,7872.3583445,bullish,2018,2018-04-20 02:40:00,7872.3583445,TP,21048,28.32886049999979
short,2018-04-20 02:45:00,7876.756341,7908.19136,7829.603812500001,bullish,2018,2018-04-20 05:50:00,7908.19136,SL,21086,-31.435018999999556
long,2018-04-20 05:55:00,7914.695515,7881.509457,7964.474602,bearish,2018,2018-04-20 08:30:00,7881.509457,SL,21118,-33.18605800000023
short,2018-04-23 02:00:00,7803.21271,7819.180219,7779.2614465,bullish,2018,2018-04-23 03:10:00,7779.2614465,TP,21327,23.951263500000096
short,2018-04-23 03:15:00,7778.114486,7809.841346,7730.524196,bullish,2018,2018-04-23 06:50:00,7809.841346,SL,21371,-31.72685999999976
short,2018-04-24 02:00:00,7789.204399,7803.42087,7767.879692500001,bullish,2018,2018-04-24 02:50:00,7803.42087,SL,21596,-14.216470999999729
long,2018-04-24 02:55:00,7803.21271,7783.451283,7832.854850499999,bearish,2018,2018-04-24 05:20:00,7832.854850499999,TP,21626,29.642140499999186
long,2018-04-24 05:25:00,7841.151884,7818.763899,7874.733861500001,bearish,2018,2018-04-24 06:25:00,7818.763899,SL,21639,-22.3879850000003
short,2018-04-25 02:00:00,7600.384045,7607.8882,7589.127812499999,bullish,2018,2018-04-25 02:20:00,7607.8882,SL,21863,-7.504155000000537
short,2018-04-25 02:25:00,7603.594283,7608.76372,7595.8401275000015,bullish,2018,2018-04-25 02:30:00,7608.76372,SL,21865,-5.1694369999995615
long,2018-04-25 02:35:00,7620.812831,7590.837011,7665.776561000001,bearish,2018,2018-04-25 03:25:00,7590.837011,SL,21876,-29.975820000000567
short,2018-04-25 03:30:00,7580.538938,7625.106749,7513.6872215,bullish,2018,2018-04-25 09:00:00,7513.6872215,TP,21943,66.85171649999938
short,2018-04-26 02:00:00,7661.962244,7688.435987,7622.2516295000005,bullish,2018,2018-04-26 04:40:00,7688.435987,SL,22164,-26.47374299999956
long,2018-04-26 04:45:00,7692.313584,7667.29904,7729.835400000002,bearish,2018,2018-04-26 09:05:00,7729.835400000002,TP,22217,37.52181600000131
long,2018-04-27 02:00:00,7879.674739,7873.337942,7889.1799345,bearish,2018,2018-04-27 02:05:00,7873.337942,SL,22406,-6.336796999999933
short,2018-04-27 02:40:00,7868.876666,7886.011535,7843.174362500001,bullish,2018,2018-04-27 06:55:00,7886.011535,SL,22464,-17.134868999999526
long,2018-04-30 02:00:00,7824.517015,7820.806778,7830.0823705,bearish,2018,2018-04-30 02:30:00,7820.806778,SL,22678,-3.710237000000234
short,2018-04-30 02:35:00,7820.723098,7829.686452,7807.278067000001,bullish,2018,2018-04-30 04:35:00,7829.686452,SL,22703,-8.963353999999526
long,2018-04-30 04:40:00,7830.353812,7820.514938,7845.112123000001,bearish,2018,2018-04-30 05:40:00,7820.514938,SL,22716,-9.838874000000033
long,2018-05-01 02:00:00,7727.33436,7717.495487,7742.0926695,bearish,2018,2018-05-01 03:00:00,7717.495487,SL,22957,-9.838872999999694
short,2018-05-01 03:05:00,7714.785249,7733.379317,7686.894146999999,bullish,2018,2018-05-01 08:35:00,7686.894146999999,TP,23024,27.8911020000005
long,2018-05-02 02:00:00,7842.027404,7829.561972,7860.725552,bearish,2018,2018-05-02 05:05:00,7829.561972,SL,23255,-12.465431999999964
short,2018-05-02 05:10:00,7825.684375,7856.243875,7779.845125,bullish,2018,2018-05-02 10:40:00,7779.845125,TP,23322,45.83924999999999
short,2018-05-03 02:00:00,7744.261069,7751.473385,7733.442595,bullish,2018,2018-05-03 02:05:00,7751.473385,SL,23492,-7.212316000000101
long,2018-05-03 02:10:00,7751.265224,7741.426351,7766.0235335,bearish,2018,2018-05-03 06:05:00,7741.426351,SL,23540,-9.838872999999694
short,2018-05-04 02:00:00,7760.020418,7778.322647,7732.567074500001,bullish,2018,2018-05-04 03:00:00,7778.322647,SL,23776,-18.302228999999897
short,2018-05-04 03:05:00,7772.56953,7781.824724,7758.686738999999,bullish,2018,2018-05-04 03:35:00,7758.686738999999,TP,23783,13.882791000000907
long,2018-05-04 03:50:00,7764.689855,7749.306025,7787.765599999999,bearish,2018,2018-05-04 07:05:00,7749.306025,SL,23825,-15.383829999999762
short,2018-05-07 02:00:00,7954.385729,7969.185879,7932.185503999999,bullish,2018,2018-05-07 08:40:00,7969.185879,SL,24117,-14.80015000000003
short,2018-05-08 02:00:00,7973.647156,7982.31867,7960.6398850000005,bullish,2018,2018-05-08 03:10:00,7960.6398850000005,TP,24324,13.007270999999491
short,2018-05-08 03:15:00,7958.763326,7978.232913,7929.558945500001,bullish,2018,2018-05-08 06:10:00,7929.558945500001,TP,24360,29.204380499999388
long,2018-05-09 02:00:00,7961.973564,7955.344928,7971.916517999999,bearish,2018,2018-05-09 02:40:00,7971.916517999999,TP,24591,9.94295399999919
long,2018-05-09 02:45:00,7974.522675,7955.344928,8003.2892955,bearish,2018,2018-05-09 09:55:00,7955.344928,SL,24678,-19.177746999999727
short,2018-05-10 02:00:00,8066.744054,8075.707408,8053.299023,bullish,2018,2018-05-10 07:10:00,8053.299023,TP,24918,13.4450310000002
short,2018-05-11 02:00:00,8122.777296,8135.242728,8104.079148000001,bullish,2018,2018-05-11 05:15:00,8135.242728,SL,25168,-12.465431999999964
