date,type,entry_price,stop_loss,risk,tokyo_high,tokyo_low,tokyo_eq,entry_datetime,outcome,profit_points,Sweep_Depth,Time_Outside,Tokyo_Range_Size
2023-04-04,short,14744.887207,14747.363775,2.476568000000043,14764.091353,14724.848099,14744.469726,2023-04-04 02:20:00,win,2.476568000000043,10.02,4,39.24
2023-04-05,long,14722.343211,14716.248471,6.094739999998637,14747.948738,14709.540447,14728.7445925,2023-04-05 01:20:00,win,6.094739999998637,40.36,4,38.41
2023-04-06,short,14545.331087,14548.920939,3.589851999999155,14541.991236,14492.450107,14517.2206715,2023-04-06 02:55:00,win,3.589851999999155,19.48,9,49.54
2023-04-07,short,14652.762973,14655.239541,2.476568000000043,14661.669244,14641.630135,14651.6496895,2023-04-07 02:15:00,loss,-2.476568000000043,6.96,8,20.04
2023-04-10,long,14613.51972,14610.764831,2.754888999999821,14654.432899,14618.529497,14636.481198,2023-04-10 01:35:00,loss,-2.754888999999821,26.44,7,35.9
2023-04-11,short,14649.701443,14656.352825,6.651382000000012,14680.316747,14635.228754,14657.7727505,2023-04-11 01:55:00,loss,-6.651382000000012,5.01,-15,45.09
2023-04-12,long,14538.373064,14537.566422,0.806641999999556,14577.059675,14546.722692,14561.8911835,2023-04-12 01:55:00,loss,-0.806641999999556,31.17,9,30.34
2023-04-13,short,14457.93831,14467.651222,9.71291200000087,14448.197076,14394.759454,14421.478265,2023-04-13 02:45:00,loss,-9.71291200000087,35.07,21,53.44
2023-04-14,long,14705.922275,14700.940818,4.981457000001683,14712.323656,14676.420254,14694.371955,2023-04-14 02:20:00,loss,-4.981457000001683,4.45,3,35.9
2023-04-17,short,14682.543315,14688.638055,6.094739999998637,14690.892943,14666.4007,14678.6468215,2023-04-17 01:30:00,win,6.094739999998637,24.49,5,24.49
2023-04-19,long,14611.571473,14609.929868,1.641605000000709,14680.595068,14653.041294,14666.818181,2023-04-19 01:40:00,loss,-1.641605000000709,70.69,8,27.55
2023-04-20,long,14618.251176,14617.444534,0.806641999999556,14643.300061,14609.066585,14626.183323000001,2023-04-20 01:20:00,loss,-0.806641999999556,108.55,4,34.23
2023-04-21,long,14562.308665,14537.288101,25.020564000000377,14592.645649,14558.968814,14575.807231499999,2023-04-21 03:00:00,loss,-25.020564000000377,44.53,21,33.68
2023-04-24,long,14505.531192,14502.497982,3.033209999999599,14548.670939,14519.168918,14533.9199285,2023-04-24 01:25:00,loss,-3.033209999999599,30.62,5,29.5
2023-04-25,long,14499.408131,14493.313391,6.094740000000456,14538.929706,14477.699097,14508.3144015,2023-04-25 01:35:00,loss,-6.094740000000456,42.03,3,61.23
2023-04-26,long,14445.970509,14437.927522,8.042987000000721,14468.792826,14417.581772,14443.187299000001,2023-04-26 01:50:00,loss,-8.042987000000721,10.58,-12,51.21
