date,tokyo_high,tokyo_low,tokyo_eq,manipulation_type,direction,fvg_timeframe,fvg_top,fvg_bottom,fvg_formation_time,inversion_time,entry_price,manip_candle_high,manip_candle_low,manip_candle_open,manip_candle_close,sl_type,sl_price,tp_level,tp_price,risk,reward_target,rr_ratio,result,exit_price,exit_time,pnl_r
2025-04-16,18916.570447,18744.937796,18830.7541215,HIGH,SHORT,5m,18975.991558,18964.005326,2025-04-17 02:20:00,2025-04-17 03:30:00,18957.884696,19027.761882,18941.563017,18954.314329,18995.373552,SL-Body,18995.373552,2R,18882.906984,37.48885599999994,74.97771199999988,2.0,WIN,18882.906984,2025-04-17 05:45:00,2.0
2025-04-16,18916.570447,18744.937796,18830.7541215,HIGH,SHORT,5m,18975.991558,18964.005326,2025-04-17 02:20:00,2025-04-17 03:30:00,18957.884696,19027.761882,18941.563017,18954.314329,18995.373552,SL-Wick,19027.761882,1R,18888.007510000003,69.87718599999789,69.87718599999789,1.0,WIN,18888.007510000003,2025-04-17 05:40:00,1.0
2025-04-16,18916.570447,18744.937796,18830.7541215,HIGH,SHORT,5m,18975.991558,18964.005326,2025-04-17 02:20:00,2025-04-17 03:30:00,18957.884696,19027.761882,18941.563017,18954.314329,18995.373552,SL-Wick,19027.761882,1.5R,18853.068917000004,69.87718599999789,104.81577899999684,1.5,WIN,18853.068917000004,2025-04-17 06:10:00,1.5
2025-04-16,18916.570447,18744.937796,18830.7541215,HIGH,SHORT,5m,18975.991558,18964.005326,2025-04-17 02:20:00,2025-04-17 03:30:00,18957.884696,19027.761882,18941.563017,18954.314329,18995.373552,SL-Wick,19027.761882,2R,18818.130324000005,69.87718599999789,139.75437199999578,2.0,WIN,18818.130324000005,2025-04-17 08:30:00,2.0
2025-04-20,18747.743084,18554.68823,18651.215657,LOW,LONG,5m,18565.909384,18552.64802,2025-04-21 02:15:00,2025-04-21 06:00:00,18570.24483,18551.117863,18520.514715,18548.312574,18543.977128,SL-Body,18543.977128,1R,18596.512532,26.26770200000101,26.26770200000101,1.0,LOSS,18543.977128,2025-04-21 06:10:00,-1.0
2025-04-20,18747.743084,18554.68823,18651.215657,LOW,LONG,5m,18565.909384,18552.64802,2025-04-21 02:15:00,2025-04-21 06:00:00,18570.24483,18551.117863,18520.514715,18548.312574,18543.977128,SL-Body,18543.977128,1.5R,18609.646383,26.26770200000101,39.40155300000151,1.5,LOSS,18543.977128,2025-04-21 06:10:00,-1.0
2025-04-20,18747.743084,18554.68823,18651.215657,LOW,LONG,5m,18565.909384,18552.64802,2025-04-21 02:15:00,2025-04-21 06:00:00,18570.24483,18551.117863,18520.514715,18548.312574,18543.977128,SL-Body,18543.977128,2R,18622.780234,26.26770200000101,52.53540400000202,2.0,LOSS,18543.977128,2025-04-21 06:10:00,-1.0
2025-04-20,18747.743084,18554.68823,18651.215657,LOW,LONG,5m,18565.909384,18552.64802,2025-04-21 02:15:00,2025-04-21 06:00:00,18570.24483,18551.117863,18520.514715,18548.312574,18543.977128,SL-Wick,18520.514715,1R,18619.974944999998,49.73011499999848,49.73011499999848,1.0,LOSS,18520.514715,2025-04-21 06:15:00,-1.0
2025-04-20,18747.743084,18554.68823,18651.215657,LOW,LONG,5m,18565.909384,18552.64802,2025-04-21 02:15:00,2025-04-21 06:00:00,18570.24483,18551.117863,18520.514715,18548.312574,18543.977128,SL-Wick,18520.514715,1.5R,18644.840002499997,49.73011499999848,74.59517249999772,1.5,LOSS,18520.514715,2025-04-21 06:15:00,-1.0
2025-04-20,18747.743084,18554.68823,18651.215657,LOW,LONG,5m,18565.909384,18552.64802,2025-04-21 02:15:00,2025-04-21 06:00:00,18570.24483,18551.117863,18520.514715,18548.312574,18543.977128,SL-Wick,18520.514715,2R,18669.705059999997,49.73011499999848,99.46022999999695,2.0,LOSS,18520.514715,2025-04-21 06:15:00,-1.0
