Date,Entry_Time,Direction,Entry_Price,SL_Price,FVG_Used,FVG_Level,Risk_R,TP_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,PnL_R,Asian_High,Asian_Low
2024-06-19,2024-06-19 01:30:00,LONG,21120.656255,21107.869933,True,21107.869933,12.786321999999927,21133.442577,2024-06-19 07:56:00,21133.442577,TP,12.786321999999927,1.0,21115.176403,21093.517938
2024-06-20,2024-06-20 01:00:00,LONG,21211.98713,21201.810261,True,21201.810261,10.176869000002625,21222.163999000004,2024-06-20 01:04:00,21201.810261,SL,-10.176869000002625,-1.0,21203.636879,21113.349785
2024-06-21,2024-06-21 01:00:00,LONG,20964.610932,20951.041773,True,20951.041773,13.569158999998763,20978.180091,2024-06-21 01:03:00,20951.041773,SL,-13.569158999998763,-1.0,20955.216899,20909.551461
2024-06-25,2024-06-25 02:30:00,SHORT,20602.679721,20627.208585,True,20627.208585,24.528863999999885,20578.150857,2024-06-25 02:32:00,20627.208585,SL,-24.528863999999885,-1.0,20668.959842,20607.115792
2024-06-26,2024-06-26 01:00:00,LONG,20888.414887,20881.108417,True,20881.108417,7.3064699999995355,20895.721357,2024-06-26 01:05:00,20881.108417,SL,-7.3064699999995355,-1.0,20884.500707,20837.530543
2024-06-27,2024-06-27 01:00:00,LONG,20832.572581,20820.83004,True,20820.83004,11.742540999999619,20844.315122,2024-06-27 01:07:00,20820.83004,SL,-11.742540999999619,-1.0,20817.43775,20744.37305
2024-07-01,2024-07-01 01:00:00,LONG,20884.761652,20879.803691,True,20879.803691,4.9579610000000685,20889.719613,2024-07-01 01:09:00,20879.803691,SL,-4.9579610000000685,-1.0,20880.847472,20804.129537
2024-07-02,2024-07-02 02:00:00,SHORT,20835.182034,20876.933292,True,20876.933292,41.751258000000234,20793.430776,2024-07-02 06:45:00,20793.430776,TP,41.751258000000234,1.0,20909.029571,20835.703925
2024-07-03,2024-07-03 01:00:00,LONG,21144.924173,21132.137851,True,21132.137851,12.786321999999927,21157.710495,2024-07-03 01:03:00,21132.137851,SL,-12.786321999999927,-1.0,21139.705266,21117.263965
2024-07-05,2024-07-05 01:00:00,LONG,21327.064033,21320.801344,True,21320.801344,6.262688999999227,21333.326721999998,2024-07-05 01:01:00,21320.801344,SL,-6.262688999999227,-1.0,21321.323235,21275.918743
2024-07-08,2024-07-08 03:30:00,LONG,21512.335236,21506.333493,True,21506.333493,6.001743000000715,21518.336979,2024-07-08 03:31:00,21506.333493,SL,-6.001743000000715,-1.0,21511.030509,21480.238957
2024-07-10,2024-07-10 03:00:00,LONG,21631.326319,21617.75716,True,21617.75716,13.569158999998763,21644.895478,2024-07-10 05:19:00,21644.895478,TP,13.569158999998763,1.0,21624.280794,21600.534767
2024-07-15,2024-07-15 01:00:00,LONG,21509.725782,21498.766077,True,21498.766077,10.959705000001122,21520.685487000002,2024-07-15 01:03:00,21498.766077,SL,-10.959705000001122,-1.0,21493.02528,21428.049886
2024-07-16,2024-07-16 02:00:00,SHORT,21467.71358,21528.774794,True,21528.774794,61.0612140000012,21406.652366,2024-07-16 05:26:00,21528.774794,SL,-61.0612140000012,-1.0,21559.3054,21521.729269
