Date,Entry_Time,Direction,Entry_Price,Exit_Time,Exit_Price,Exit_Type,PnL_Points,Risk_R
2023-12-19,2023-12-19 02:15:00,LONG,18163.106287,2023-12-19 07:00:00,18192.586628,FORCE_CLOSE,29.480341000002227,36.57239999999729
2023-12-20,2023-12-20 02:00:00,SHORT,18227.963038,2023-12-20 07:00:00,18201.430731,FORCE_CLOSE,26.53230700000131,47.56052799999816
2023-12-21,2023-12-21 01:00:00,LONG,18068.501192,2023-12-21 07:00:00,18095.033499,FORCE_CLOSE,26.53230700000131,59.888670000000275
2023-12-26,2023-12-26 01:00:00,LONG,18258.515392,2023-12-26 06:00:00,18212.562883,SL,-45.952509000002465,45.952509000002465
2023-12-29,2023-12-29 01:00:00,LONG,18344.812391,2023-12-29 06:30:00,18316.012081,SL,-28.800309999998717,28.800309999998717
2024-01-02,2024-01-02 03:30:00,SHORT,18220.458951,2024-01-02 05:15:00,18126.409909,TP,94.04904199999874,47.02452099999937
2024-01-03,2024-01-03 02:45:00,SHORT,17875.806961,2024-01-03 07:00:00,17809.610194,FORCE_CLOSE,66.19676699999764,59.888670000000275
2024-01-05,2024-01-05 01:00:00,SHORT,17600.031768,2024-01-05 07:00:00,17580.199538,FORCE_CLOSE,19.83222999999998,56.94063599999936
2024-01-08,2024-01-08 02:00:00,SHORT,17617.987976,2024-01-08 07:00:00,17662.744494,FORCE_CLOSE,-44.75651799999832,72.48481600000014
2024-01-09,2024-01-09 01:15:00,SHORT,17979.524162,2024-01-09 03:15:00,17923.531560000003,TP,55.99260199999844,27.99630099999922
2024-01-10,2024-01-10 02:15:00,LONG,18069.037198,2024-01-10 07:00:00,18056.977058,FORCE_CLOSE,-12.060140000001411,39.78843700000289
2024-01-11,2024-01-11 01:00:00,LONG,18234.931119,2024-01-11 07:00:00,18231.715081,FORCE_CLOSE,-3.2160380000022997,56.40463000000091
2024-01-16,2024-01-16 01:00:00,SHORT,18088.065418,2024-01-16 07:00:00,18111.113685,FORCE_CLOSE,-23.048267000001943,70.3407920000027
2024-01-17,2024-01-17 01:00:00,SHORT,18050.812987,2024-01-17 07:00:00,18100.929567,FORCE_CLOSE,-50.116579999998066,155.2977749999991
2024-01-18,2024-01-18 01:00:00,LONG,18104.949614,2024-01-18 05:45:00,18215.078844,TP,110.12922999999864,55.06461499999932
2024-01-19,2024-01-19 01:30:00,LONG,18419.85326,2024-01-19 07:00:00,18492.214097,FORCE_CLOSE,72.36083700000017,56.94063599999936
2024-01-23,2024-01-23 02:15:00,SHORT,18696.700465,2024-01-23 07:00:00,18749.085048,SL,-52.38458299999911,52.38458299999911
2024-01-24,2024-01-24 01:00:00,LONG,18895.290764,2024-01-24 07:00:00,18958.8075,FORCE_CLOSE,63.51673599999776,63.37270999999964
2024-01-29,2024-01-29 01:00:00,LONG,18812.477805,2024-01-29 07:00:00,18825.609957,FORCE_CLOSE,13.132152000001952,76.50486199999796
2024-02-06,2024-02-06 01:00:00,LONG,19033.044359,2024-02-06 05:30:00,18966.455611,SL,-66.5887479999983,66.5887479999983
2024-02-07,2024-02-07 01:00:00,SHORT,18913.246972,2024-02-07 07:00:00,18989.483832,SL,-76.23686000000089,76.23686000000089
2024-02-09,2024-02-09 01:15:00,LONG,19168.653929,2024-02-09 07:00:00,19198.670277,FORCE_CLOSE,30.016348000001017,32.82035700000051
2024-02-12,2024-02-12 02:15:00,LONG,19349.556024,2024-02-12 07:00:00,19344.731968,FORCE_CLOSE,-4.824056000001292,38.716426000002684
2024-02-14,2024-02-14 01:00:00,LONG,19002.224002,2024-02-14 07:00:00,19085.304964,FORCE_CLOSE,83.080962,62.56870100000015
2024-02-15,2024-02-15 01:00:00,LONG,19199.742289,2024-02-15 07:00:00,19189.826174,FORCE_CLOSE,-9.91611499999999,72.75281900000118
2024-02-16,2024-02-16 01:15:00,LONG,19254.682925,2024-02-16 07:00:00,19297.027415,FORCE_CLOSE,42.344489999999496,55.60062000000107
2024-02-21,2024-02-21 02:15:00,SHORT,18786.481504,2024-02-21 07:00:00,18754.053129,FORCE_CLOSE,32.428374999999505,64.71272600000157
2024-02-22,2024-02-22 01:00:00,LONG,19102.725166,2024-02-22 07:00:00,19189.558171,FORCE_CLOSE,86.83300500000041,127.69345500000054
2024-02-23,2024-02-23 03:15:00,SHORT,19301.851471,2024-02-23 07:00:00,19349.824027,FORCE_CLOSE,-47.972555999996985,55.06461499999932
2024-02-26,2024-02-26 03:45:00,LONG,19287.647307,2024-02-26 07:00:00,19291.935356,FORCE_CLOSE,4.288049000002502,77.04086900000038
2024-02-27,2024-02-27 01:15:00,LONG,19265.939055,2024-02-27 07:00:00,19308.015543,FORCE_CLOSE,42.07648800000243,49.436548999998195
2024-02-28,2024-02-28 01:15:00,SHORT,19275.587167,2024-02-28 03:30:00,19193.866267,TP,81.72090000000026,40.86045000000013
2024-02-29,2024-02-29 02:00:00,SHORT,19132.47351,2024-02-29 07:00:00,19160.07783,FORCE_CLOSE,-27.604319999998552,90.97703000000183
2024-03-01,2024-03-01 01:00:00,LONG,19453.273224,2024-03-01 04:15:00,19357.472138,SL,-95.80108599999949,95.80108599999949
2024-03-05,2024-03-05 01:00:00,SHORT,19484.89759,2024-03-05 07:00:00,19480.073535,FORCE_CLOSE,4.824055000000953,69.26877899999818
2024-03-06,2024-03-06 01:30:00,LONG,19285.771285,2024-03-06 07:00:00,19379.036365,FORCE_CLOSE,93.26508000000103,53.188592999998946
2024-03-08,2024-03-08 02:00:00,LONG,19649.987502,2024-03-08 07:00:00,19604.962981,FORCE_CLOSE,-45.02452099999937,89.63701500000025
2024-03-12,2024-03-12 01:00:00,LONG,19377.953525,2024-03-12 07:00:00,19345.433082,FORCE_CLOSE,-32.52044300000125,51.837750000002416
2024-03-14,2024-03-14 01:00:00,LONG,19445.373955,2024-03-14 07:00:00,19462.030767,FORCE_CLOSE,16.656812000001082,36.6355939999994
2024-03-18,2024-03-18 01:00:00,LONG,19210.592222,2024-03-18 07:00:00,19335.65051,FORCE_CLOSE,125.05828800000018,109.60829399999784
2024-03-21,2024-03-21 01:00:00,LONG,19688.880684,2024-03-21 07:00:00,19724.309459,FORCE_CLOSE,35.428775000000314,66.77649200000087
2024-03-22,2024-03-22 04:00:00,LONG,19672.223872,2024-03-22 06:45:00,19596.986777,SL,-75.23709500000041,75.23709500000041
