direction,entry_datetime,entry_price,stop_loss,risk,fvg_type,fvg_top,fvg_bottom,tp_1,tp_1.5,tp_2,tp_2.5,exit_price,exit_datetime,exit_reason,pnl,rr_hit
SHORT,2023-04-12 02:35:00,14520.560523,14559.803777,39.24325399999907,bullish,14626.044162,14622.147669,14481.317269000001,14461.695642000002,14442.074015000002,14422.452388000002,14559.803777,2023-04-12 03:05:00,STOP_LOSS,-39.24325399999907,0.0
LONG,2023-04-12 03:10:00,14563.421949,14515.550746,47.871202999998786,bearish,14532.250003,14523.900374,14611.293151999998,14635.228753499998,14659.164354999997,14683.099956499997,14683.099956499997,2023-04-12 07:30:00,TP_2.5,119.67800749999697,2.5
SHORT,2023-04-12 07:40:00,14691.727906,14741.825677,50.09777100000065,bullish,14695.90272,14693.119511,14641.630135,14616.5812495,14591.532363999999,14566.483478499998,14641.630135,2023-04-12 08:25:00,TP_1,50.09777100000065,1.0
SHORT,2023-04-12 08:30:00,14639.403568,14741.825677,102.422109000001,bullish,14664.452453,14661.112602,14536.981458999999,14485.7704045,14434.559349999998,14383.348295499996,14536.981458999999,2023-04-12 08:45:00,TP_1,102.422109000001,1.0
SHORT,2023-04-12 08:50:00,14545.887729,14741.825677,195.9379480000007,bullish,14672.24544,14670.297193,14349.949781,14251.980807,14154.011832999999,14056.042858999997,14741.825677,2023-04-14 08:50:00,STOP_LOSS,-195.9379480000007,0.0
LONG,2023-04-14 09:00:00,14749.896984,14585.130983,164.76600100000178,bearish,14476.864134,14474.915887,14914.662985000003,14997.045985500004,15079.428986000004,15161.811986500004,14585.130983,2023-04-14 11:05:00,STOP_LOSS,-164.76600100000178,0.0
SHORT,2023-04-14 11:10:00,14589.584118,14661.947565,72.36344699999972,bullish,14691.727906,14686.718129,14517.220671000001,14481.038947500001,14444.857224000001,14408.675500500001,14661.947565,2023-04-14 13:45:00,STOP_LOSS,-72.36344699999972,0.0
SHORT,2023-04-14 13:50:00,14647.753196,14663.339169,15.585973000001104,bullish,14701.190818,14699.520893,14632.167222999999,14624.374236499998,14616.581249999997,14608.788263499997,14624.374236499998,2023-04-14 14:10:00,TP_1.5,23.378959500001656,1.5
SHORT,2023-04-14 14:15:00,14621.591027,14663.339169,41.74814200000037,bullish,14673.358724,14667.792305,14579.842885,14558.968814,14538.094743,14517.220672,14663.339169,2023-04-14 14:40:00,STOP_LOSS,-41.74814200000037,0.0
LONG,2023-04-14 14:55:00,14674.193686,14599.325351,74.86833500000103,bearish,14470.741073,14469.071147,14749.062021000002,14786.496188500001,14823.930356000003,14861.364523500004,14599.325351,2023-04-17 09:40:00,STOP_LOSS,-74.86833500000103,0.0
LONG,2023-04-17 09:45:00,14620.477743,14596.820463,23.657279999999446,bearish,14459.329914,14453.206853,14644.135022999999,14655.963662999999,14667.792302999998,14679.620942999998,14596.820463,2023-04-17 10:30:00,STOP_LOSS,-23.657279999999446,0.0
SHORT,2023-04-17 10:35:00,14586.522588,14687.553092,101.03050400000029,bullish,14653.041294,14650.258085,14485.492084,14434.976832,14384.46158,14333.946327999998,14687.553092,2023-04-17 15:00:00,STOP_LOSS,-101.03050400000029,0.0
SHORT,2023-04-17 15:05:00,14688.666376,14690.614622,1.9482459999999264,bullish,14708.427163,14702.304102,14686.71813,14685.744007,14684.769884,14683.795761,14683.795761,2023-04-17 15:10:00,TP_2.5,4.870614999999816,2.5
LONG,2023-04-17 15:15:00,14687.274771,14594.315574,92.95919700000013,bearish,14470.184431,14469.627789,14780.233968,14826.7135665,14873.193165,14919.6727635,14780.233968,2023-04-18 04:30:00,TP_1,92.95919700000013,1.0
LONG,2023-04-18 04:35:00,14783.017177,14685.883166,97.1340110000001,bearish,14656.659467,14650.258085,14880.151188,14928.7181935,14977.285199,15025.852204499999,14685.883166,2023-04-18 09:25:00,STOP_LOSS,-97.1340110000001,0.0
SHORT,2023-04-18 09:30:00,14650.814727,14804.169569,153.35484199999883,bullish,14657.216109,14656.102825,14497.459885000002,14420.782464000004,14344.105043000003,14267.427622000003,14497.459885000002,2023-04-20 14:25:00,TP_1,153.35484199999883,1.0
