date,time,setup_type,candle_830_open,candle_830_high,candle_830_low,candle_830_close,next_candle_open,next_candle_high,next_candle_low,next_candle_close,prev5_max_high,prev5_min_low,year
2021-02-01,08:30:00,bullish_830_to_bearish_breakdown,14921.635583,14981.658252,14916.776605,14935.926695,14936.212517,14944.501362,14828.743357,14884.764515,14930.21025,14895.911582,2021
2021-03-04,08:30:00,bullish_830_to_bearish_breakdown,14478.896941,14594.083302,14461.747607,14539.491255,14540.0629,14549.209211,14369.141203,14393.436093,14528.344188,14443.454984,2021
2021-03-09,08:30:00,bearish_830_to_bullish_breakout,14416.01605,14465.749119,14390.577871,14409.727961,14408.870494,14538.919611,14408.013027,14525.200144,14425.162361,14349.419469,2021
2021-03-15,08:30:00,bearish_830_to_bullish_breakout,14806.1634,14806.1634,14744.997442,14775.580421,14774.15131,14843.034468,14761.003487,14818.453756,14814.166423,14759.860198,2021
2021-03-17,08:30:00,bearish_830_to_bullish_breakout,14880.676843,14890.687293,14797.447102,14867.234239,14866.3762,14922.148707,14842.065107,14912.138257,14887.827164,14846.3553,2021
2021-03-18,08:30:00,bearish_830_to_bullish_breakout,14849.215429,14898.123627,14831.196619,14835.772825,14835.200799,14869.522341,14796.30305,14867.234239,14857.795814,14808.887616,2021
2021-04-12,08:30:00,bullish_830_to_bearish_breakdown,15770.176823,15798.778109,15761.024412,15774.753029,15775.039042,15784.191453,15722.126664,15751.013962,15799.636147,15761.88245,2021
2021-04-21,08:30:00,bearish_830_to_bullish_breakout,15727.274895,15746.723769,15674.076504,15705.251905,15704.965892,15793.629877,15698.959622,15789.91171,15744.435666,15700.675699,2021
2021-04-28,08:30:00,bearish_830_to_bullish_breakout,15947.790806,15951.508974,15885.726017,15918.331482,15918.903508,15986.402542,15918.04547,15984.972478,15948.648845,15928.341932,2021
2021-05-13,08:30:00,bearish_830_to_bullish_breakout,15011.098705,15065.155135,14999.086165,15008.810602,15008.524589,15062.867032,14971.914944,15054.572659,15027.687451,14907.848064,2021
2021-05-14,08:30:00,bearish_830_to_bullish_breakout,15138.088413,15167.547737,15111.489217,15128.363976,15127.79195,15179.84629,15113.491307,15179.274264,15164.115583,15103.76687,2021
2021-06-01,08:30:00,bullish_830_to_bearish_breakdown,15733.281165,15757.020232,15719.266535,15734.425216,15734.425216,15743.863641,15679.796761,15699.531648,15734.139203,15707.540008,2021
2021-06-08,08:30:00,bullish_830_to_bearish_breakdown,15878.00367,15922.049649,15859.98486,15914.04129,15914.327302,15920.905598,15823.94724,15833.099651,15898.596595,15868.279233,2021
2021-06-25,08:30:00,bullish_830_to_bearish_breakdown,16461.455253,16474.047902,16440.849098,16466.892988,16466.892988,16471.185936,16403.929739,16417.667175,16478.340851,16428.828842,2021
2021-07-08,08:30:00,bearish_830_to_bullish_breakout,16707.011924,16761.389275,16677.533675,16703.577565,16703.577565,16758.241113,16645.765854,16757.954916,16734.772992,16669.520171,2021
2021-07-19,08:30:00,bullish_830_to_bearish_breakdown,16632.314615,16680.109444,16587.381751,16677.533675,16677.819872,16683.543804,16566.4894,16580.513032,16657.786111,16603.694956,2021
2021-08-13,08:30:00,bearish_830_to_bullish_breakout,17273.681165,17281.122276,17249.926848,17256.795566,17257.081763,17296.004498,17257.081763,17285.415225,17278.26031,17242.485737,2021
2021-08-16,08:30:00,bullish_830_to_bearish_breakdown,17263.091891,17300.297447,17259.371335,17278.546506,17278.832703,17287.418601,17196.694283,17207.85595,17271.391592,17243.91672,2021
2021-08-17,08:30:00,bullish_830_to_bearish_breakdown,17191.256548,17217.01424,17139.168769,17206.13877,17206.424967,17220.162403,17120.279794,17144.892701,17257.081763,17188.394582,2021
2021-09-29,08:30:00,bearish_830_to_bullish_breakout,16973.04636,17012.564512,16938.396386,16947.560015,16947.273652,17070.98265,16941.832747,17047.787213,17028.028137,16961.878186,2021
2021-12-17,08:30:00,bearish_830_to_bullish_breakout,17998.800136,18088.145523,17934.368366,17956.131986,17957.27744,18147.422752,17935.800183,18077.550077,18030.586476,17948.972901,2021
2021-12-31,08:30:00,bullish_830_to_bearish_breakdown,18795.176811,18858.749491,18792.313177,18812.931343,18812.931343,18826.963151,18767.113196,18780.572277,18829.254059,18790.88136,2021
2022-01-03,08:30:00,bullish_830_to_bearish_breakdown,18765.967742,18882.517655,18760.526837,18836.126781,18836.413144,18846.435864,18661.731457,18689.795072,18834.981327,18752.222298,2022
2022-02-17,08:30:00,bullish_830_to_bearish_breakdown,16566.123938,16603.351183,16550.946677,16582.160289,16581.301199,16587.314831,16467.042194,16498.54217,16640.292064,16547.510315,2022
2022-03-21,08:30:00,bullish_830_to_bearish_breakdown,16461.887652,16570.992116,16446.424028,16540.923957,16541.21032,16548.369406,16371.683175,16383.137711,16496.537626,16445.851301,2022
2022-03-24,08:30:00,bullish_830_to_bearish_breakdown,16636.282976,16667.496589,16577.005748,16642.296608,16642.296608,16664.060228,16572.99666,16588.173921,16659.764777,16613.946629,2022
2022-04-29,08:30:00,bearish_830_to_bullish_breakout,15220.215856,15319.583964,15150.629545,15210.4795,15210.4795,15386.879368,15187.284063,15376.570285,15273.479453,15164.374989,2022
2022-05-20,08:30:00,bullish_830_to_bearish_breakdown,13775.512395,13806.153281,13682.730646,13783.244207,13783.244207,13797.848742,13706.49881,13740.00333,13813.312366,13754.321501,2022
2022-05-23,08:30:00,bullish_830_to_bearish_breakdown,13613.430698,13663.83066,13536.685301,13648.367035,13648.080672,13719.671527,13569.044368,13577.062543,13692.753366,13610.567064,2022
2022-06-09,08:30:00,bearish_830_to_bullish_breakout,14367.139224,14431.28463,14325.043801,14356.257414,14357.116504,14495.143673,14339.648335,14477.389141,14462.21188,14350.530145,2022
