Datetime,Open,High,Low,Close,Volume,Swing_High,Swing_Low,FVG_Bullish_Top,FVG_Bullish_Bottom,FVG_Bullish_Mean,FVG_Bearish_Top,FVG_Bearish_Bottom,FVG_Bearish_Mean,MSS_Bullish,MSS_Bearish,OB_Bullish_High,OB_Bullish_Low,OB_Bearish_High,OB_Bearish_Low
2024-03-05 20:45:00-05:00,19285.771285,19303.45949,19284.43127,19299.439443,3164,0.0,0.0,19284.43127,19279.875217,19282.1532435,,,,1,0,19278.267198,19263.527027,,
2024-03-05 21:00:00-05:00,19298.903437,19318.467664,19298.367431,19316.591642,3117,0.0,0.0,19298.367431,19287.379304,19292.873367499997,,,,1,0,19278.267198,19263.527027,,
2024-03-05 21:15:00-05:00,19316.323639,19327.847772,19313.911611,19327.043763,2514,0.0,0.0,19313.911611,19303.45949,19308.6855505,,,,1,0,19278.267198,19263.527027,,
2024-03-05 21:30:00-05:00,19326.507757,19337.495884,19319.807679,19324.631735,2638,19337.495884,0.0,19319.807679,19318.467664,19319.1376715,,,,0,0,,,,
2024-03-05 21:45:00-05:00,19323.827726,19326.77576,19305.871518,19317.663654,2393,0.0,19305.871518,,,,,,,0,0,,,,
2024-03-05 22:00:00-05:00,19317.395651,19348.484011,19317.395651,19347.948005,3615,0.0,0.0,,,,,,,1,0,,,,
2024-03-05 22:15:00-05:00,19347.948005,19365.368207,19347.680002,19352.504058,3491,19365.368207,0.0,19347.680002,19326.77576,19337.227881,,,,0,0,,,,
2024-03-05 22:30:00-05:00,19352.504058,19363.492185,19349.020017,19355.184089,2236,0.0,0.0,19349.020017,19348.484011,19348.752013999998,,,,0,0,,,,
2024-03-05 22:45:00-05:00,19354.380079,19358.400126,19342.051937,19357.328113,2226,0.0,19342.051937,,,,,,,0,0,,,,
2024-03-05 23:00:00-05:00,19357.596117,19371.264275,19356.792107,19363.224182,2774,0.0,0.0,,,,,,,0,0,,,,
2024-03-05 23:15:00-05:00,19363.492185,19372.068284,19359.740141,19366.172216,1874,0.0,0.0,19359.740141,19358.400126,19359.070133499998,,,,0,0,,,,
2024-03-05 23:30:00-05:00,19365.63621,19377.696349,19355.720095,19356.792107,2185,19377.696349,0.0,,,,,,,0,0,,,,
2024-03-05 23:45:00-05:00,19357.596117,19366.708222,19350.09203,19351.432045,1937,0.0,0.0,,,,,,,0,0,,,,
2024-03-06 00:00:00-05:00,19351.164042,19364.8322,19349.020017,19364.028191,1823,0.0,19349.020017,,,,,,,0,0,,,,
2024-03-06 00:15:00-05:00,19364.564197,19365.904213,19350.09203,19356.792107,1170,19365.904213,0.0,,,,,,,0,0,,,,
2024-03-06 00:30:00-05:00,19357.328113,19359.472138,19342.587943,19342.855946,1884,0.0,0.0,,,,,,,0,0,,,,
2024-03-06 00:45:00-05:00,19343.123949,19354.380079,19334.011844,19341.51593,2338,0.0,0.0,,,,,,,0,0,,,,
2024-03-06 01:00:00-05:00,19341.51593,19376.088331,19332.939831,19368.584244,4893,19376.088331,19332.939831,,,,,,,0,0,,,,
2024-03-06 01:15:00-05:00,19368.852247,19371.800281,19347.948005,19358.400126,3122,0.0,0.0,,,,,,,0,0,,,,
2024-03-06 01:30:00-05:00,19359.204135,19377.160343,19356.792107,19373.944306,3097,19377.160343,0.0,,,,,,,0,0,,,,
2024-03-06 01:45:00-05:00,19374.748315,19375.552324,19360.544151,19369.388253,2307,0.0,0.0,,,,,,,0,0,,,,
2024-03-06 02:00:00-05:00,19368.584244,19387.076458,19366.708222,19379.036365,4048,0.0,0.0,,,,,,,1,0,,,,
2024-03-06 02:15:00-05:00,19379.036365,19398.064585,19374.748315,19378.232356,5997,19398.064585,0.0,,,,,,,0,0,,,,
2024-03-06 02:30:00-05:00,19378.768362,19395.92056,19354.112076,19376.356334,10853,0.0,19354.112076,,,,,,,0,0,,,,
2024-03-06 02:45:00-05:00,19376.356334,19401.816629,19366.976225,19401.280622,5533,0.0,0.0,,,,,,,1,0,,,,
