timeframe,year,date,time,setup_type,direction,sl_percentage,rr_ratio,entry_price,sl_price,tp_price,risk,body_size,outcome,exit_price,exit_time,pnl,bars_held
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,1.5,14438.024362,14413.65801625,14474.573880625001,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,2.0,14438.024362,14413.65801625,14486.757053500001,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,2.5,14438.024362,14413.65801625,14498.940226375002,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,3.0,14438.024362,14413.65801625,14511.123399250002,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,3.5,14438.024362,14413.65801625,14523.306572125002,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,4.0,14438.024362,14413.65801625,14535.489745000003,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,4.5,14438.024362,14413.65801625,14547.672917875003,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,75,5.0,14438.024362,14413.65801625,14559.856090750003,24.36634575000062,3.144045000000915,LOSS,14413.65801625,2021-03-09 08:33:00,-24.36634575000062,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,1.0,14438.024362,14412.872005,14463.176719000001,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
1m,2021,2021-03-09,08:30:00,bearish_830_to_bullish_breakout,LONG,100,1.5,14438.024362,14412.872005,14475.752897500002,25.152357000000848,3.144045000000915,LOSS,14412.872005,2021-03-09 08:33:00,-25.152357000000848,3.0
